iter	Passed	Remaining
0	142	142439
1	148	73883
2	152	50815
3	157	39192
4	163	32491
5	168	27897
6	174	24688
7	178	22186
8	183	20214
9	189	18760
10	195	17608
11	200	16520
12	204	15500
13	209	14734
14	213	14024
15	215	13282
16	218	12617
17	220	12004
18	221	11460
19	224	10990
20	225	10530
21	227	10120
22	229	9742
23	231	9396
24	232	9078
25	234	8772
26	235	8500
27	237	8239
28	238	7990
29	240	7769
30	241	7559
31	243	7356
32	244	7174
33	248	7064
34	250	6895
35	251	6731
36	253	6588
37	254	6447
38	255	6306
39	257	6174
40	258	6054
41	260	5942
42	261	5830
43	263	5719
44	264	5619
45	266	5521
46	267	5425
47	268	5331
48	270	5242
49	271	5158
50	273	5085
51	275	5016
52	276	4937
53	277	4861
54	278	4787
55	279	4717
56	280	4648
57	282	4585
58	283	4521
59	284	4461
60	286	4413
61	288	4359
62	289	4302
63	290	4250
64	291	4197
65	292	4145
66	294	4095
67	294	4041
68	296	3994
69	297	3948
70	298	3912
71	300	3869
72	301	3827
73	302	3786
74	303	3745
75	304	3706
76	306	3669
77	307	3635
78	309	3604
79	310	3572
80	311	3538
81	313	3504
82	314	3471
83	315	3439
84	316	3405
85	317	3376
86	318	3342
87	319	3313
88	321	3287
89	322	3261
90	324	3240
91	325	3214
92	326	3187
93	328	3163
94	329	3140
95	331	3118
96	332	3093
97	333	3069
98	334	3046
99	336	3025
100	337	3003
101	338	2977
102	339	2955
103	340	2934
104	341	2914
105	343	2893
106	344	2872
107	345	2852
108	346	2832
109	347	2814
110	348	2794
111	350	2776
112	351	2758
113	352	2741
114	354	2725
115	355	2707
116	356	2690
117	357	2673
118	358	2655
119	359	2639
120	361	2626
121	362	2611
122	363	2592
123	364	2576
124	365	2561
125	367	2548
126	368	2536
127	369	2519
128	371	2506
129	373	2498
130	375	2487
131	376	2473
132	377	2462
133	379	2450
134	380	2438
135	381	2426
136	383	2412
137	383	2398
138	385	2387
139	387	2379
140	388	2368
141	390	2356
142	391	2344
143	392	2333
144	393	2321
145	394	2309
146	395	2297
147	398	2291
148	399	2282
149	400	2271
150	402	2261
151	403	2251
152	404	2241
153	406	2230
154	407	2220
155	408	2209
156	410	2202
157	411	2195
158	413	2184
159	414	2174
160	415	2164
161	416	2155
162	417	2145
163	418	2135
164	420	2127
165	421	2119
166	423	2112
167	424	2104
168	426	2095
169	427	2086
170	428	2077
171	429	2068
172	430	2059
173	431	2050
174	433	2042
175	434	2034
176	435	2027
177	437	2020
178	438	2011
179	439	2003
180	440	1992
181	441	1984
182	442	1976
183	444	1970
184	445	1963
185	447	1956
186	448	1951
187	450	1943
188	451	1936
189	452	1928
190	453	1920
191	454	1913
192	455	1906
193	457	1898
194	458	1891
195	459	1885
196	461	1879
197	462	1873
198	463	1866
199	465	1860
200	466	1854
201	467	1847
202	468	1840
203	470	1834
204	471	1827
205	472	1820
206	473	1815
207	475	1809
208	476	1802
209	477	1796
210	478	1790
211	480	1785
212	481	1780
213	483	1774
214	484	1768
215	485	1762
216	487	1757
217	488	1751
218	489	1745
219	490	1740
220	492	1734
221	493	1728
222	494	1722
223	495	1716
224	496	1710
225	497	1704
226	499	1699
227	500	1694
228	503	1693
229	504	1688
230	505	1683
231	507	1678
232	508	1673
233	509	1667
234	510	1662
235	513	1660
236	515	1658
237	516	1653
238	517	1647
239	518	1642
240	519	1636
241	520	1631
242	522	1626
243	523	1621
244	524	1617
245	526	1612
246	527	1607
247	528	1603
248	530	1599
249	531	1594
250	532	1589
251	533	1584
252	535	1581
253	537	1577
254	538	1572
255	539	1567
256	540	1563
257	542	1559
258	543	1554
259	544	1549
260	545	1544
261	547	1541
262	548	1537
263	550	1534
264	551	1529
265	553	1527
266	554	1522
267	555	1518
268	556	1513
269	557	1508
270	560	1507
271	562	1504
272	563	1500
273	564	1496
274	566	1492
275	567	1488
276	568	1485
277	570	1482
278	573	1481
279	574	1478
280	576	1474
281	577	1470
282	579	1466
283	580	1463
284	581	1459
285	583	1455
286	584	1452
287	586	1449
288	587	1445
289	588	1442
290	590	1438
291	591	1434
292	592	1430
293	594	1427
294	595	1423
295	597	1420
296	598	1417
297	599	1413
298	601	1409
299	602	1405
300	603	1402
301	605	1398
302	606	1394
303	607	1390
304	608	1386
305	610	1383
306	611	1381
307	613	1377
308	614	1374
309	615	1370
310	617	1367
311	618	1363
312	619	1359
313	620	1355
314	621	1352
315	623	1349
316	624	1346
317	625	1342
318	627	1338
319	628	1335
320	629	1331
321	631	1328
322	632	1325
323	633	1321
324	634	1318
325	636	1315
326	637	1311
327	638	1308
328	639	1304
329	640	1301
330	642	1297
331	643	1295
332	645	1292
333	646	1288
334	647	1286
335	649	1283
336	650	1280
337	653	1279
338	654	1275
339	656	1273
340	657	1270
341	658	1267
342	660	1264
343	662	1262
344	663	1260
345	665	1257
346	666	1254
347	668	1252
348	669	1248
349	670	1245
350	671	1241
351	673	1240
352	675	1237
353	676	1234
354	677	1231
355	679	1228
356	680	1225
357	681	1222
358	683	1219
359	684	1216
360	685	1213
361	687	1211
362	688	1208
363	690	1206
364	691	1203
365	693	1200
366	694	1197
367	695	1194
368	696	1191
369	698	1190
370	700	1187
371	701	1184
372	702	1180
373	704	1178
374	705	1175
375	706	1172
376	707	1169
377	708	1166
378	710	1163
379	711	1161
380	713	1158
381	714	1155
382	716	1153
383	717	1150
384	718	1147
385	719	1144
386	720	1141
387	722	1139
388	723	1136
389	724	1133
390	726	1130
391	727	1128
392	728	1125
393	729	1122
394	731	1119
395	732	1117
396	733	1114
397	735	1112
398	737	1110
399	738	1107
400	740	1105
401	741	1102
402	742	1099
403	743	1097
404	745	1094
405	746	1092
406	748	1090
407	749	1087
408	751	1085
409	752	1082
410	753	1080
411	754	1077
412	756	1075
413	758	1073
414	759	1071
415	761	1068
416	762	1066
417	764	1063
418	765	1061
419	766	1058
420	767	1055
421	769	1053
422	770	1051
423	771	1048
424	773	1046
425	775	1044
426	776	1042
427	778	1040
428	779	1037
429	781	1035
430	783	1034
431	785	1032
432	786	1030
433	788	1028
434	789	1025
435	791	1023
436	792	1020
437	793	1018
438	795	1015
439	796	1013
440	797	1010
441	799	1008
442	800	1006
443	801	1004
444	803	1001
445	804	999
446	806	997
447	807	995
448	808	992
449	810	990
450	812	988
451	813	986
452	814	983
453	815	980
